Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Lux,IR,Full_Spectrum,Temp,Humidity
2024-03-08T08:30:49,0.30568308715,0.14895320685,9.82433138995,0.12018773561545952,-0.07040221870232127,0.05665775084286593,-0.9179800000000001,0.5125400000000001,-1.7717000000000003,0.0,0,0,12.5,30
2024-03-08T08:30:50,0.31226334929999994,0.14117653339999997,9.753144917599998,0.12110403347275656,-0.07681630370340044,0.05375614096142535,-0.9286200000000001,0.52514,-1.74384,10.849536,68,4456626,13.5,30
2024-03-08T08:30:51,0.30747770409999997,0.12083754129999999,9.723234635099999,-2.374433180875686,0.36758815708565573,-0.41187588685501186,-0.9238600000000001,0.52346,-1.7521000000000002,10.849536,68,4456626,13.5,30
2024-03-08T08:30:52,0.28893332894999996,0.12981062605,9.80638522045,-0.020769418098732523,0.002901609881440573,-0.010995574287564279,-0.9272200000000002,0.5215,-1.7490200000000002,10.849536,68,4456626,14.5,30
2024-03-08T08:30:54,0.28713871199999996,0.13459627124999998,9.810572659999998,-0.019853120241435502,0.0070249502392771765,-0.01114829059711378,-0.9233000000000001,0.5262600000000001,-1.74916,10.849536,68,4456626,14.5,29
2024-03-08T08:30:55,0.29312076849999996,0.14237294469999998,9.816554716499999,-0.016035212502697904,0.0013744467859455349,-0.011606439525762293,-0.9289000000000001,0.5287800000000001,-1.74818,10.849536,68,4456626,14.5,29
2024-03-08T08:30:56,0.16809578764999997,0.13579268255,9.771091087099999,-0.019700403931885997,0.0018325957145940463,-0.012980886311707827,-0.9224600000000001,0.5184200000000001,-1.7488800000000002,10.686336,68,4456625,14.5,28
2024-03-08T08:30:57,0.30568308715,0.12442677519999999,9.68076203395,-0.022143864884678056,0.0025961772623415654,-0.012064588454410803,-0.9286200000000001,0.52458,-1.7495800000000001,10.686336,68,4456625,14.5,28
2024-03-08T08:30:58,0.29611179675,0.12083754129999999,9.83509909165,-0.01756237559819294,0.0033597588100890844,-0.011759155835311796,-0.9235800000000001,0.5313000000000001,-1.7421600000000002,10.686336,68,4456625,14.5,28
2024-03-08T08:30:59,0.31166514365,0.10648060570000001,9.82433138995,-0.019700403931885997,0.006719517620178169,-0.014508049407202865,-0.9286200000000001,0.5271,-1.75014,10.686336,68,4456625,14.5,28
2024-03-08T08:31:00,0.31884361145,0.12562318649999998,9.78245699445,-0.017256942979093935,0.002901609881440573,-0.01145372321621279,-0.9289000000000001,0.5215,-1.7508400000000002,10.686336,68,4456625,14.5,27
2024-03-08T08:31:01,0.31465617189999995,0.11365907349999999,9.868598608049998,-0.019089538693687978,0.004123340357836604,-0.012370021073509813,-0.9286200000000001,0.52486,-1.7502800000000003,10.686336,68,4456625,14.5,27
2024-03-08T08:31:03,0.32303105099999996,0.1459621786,9.839286531199999,-0.020463985479633514,0.0033597588100890844,-0.009315694882519735,-0.9227400000000001,0.5276600000000001,-1.7467800000000002,10.953984,67,4391089,14.5,27
2024-03-08T08:31:04,0.3038884702,0.1304088317,9.836893708599998,-0.01893682238413848,0.0022907446432425577,-0.009773843811168246,-0.9235800000000001,0.5327000000000001,-1.7448200000000003,10.790784,67,4391088,14.5,27
2024-03-08T08:31:05,0.31884361145,0.14775679555,9.798010341349999,-0.021227567027381034,0.0013744467859455349,-0.0119118721448613,-0.9227400000000001,0.5371800000000001,-1.7647000000000004,10.953984,67,4391089,14.5,27
2024-03-08T08:31:06,0.29910282499999996,0.12323036389999999,9.80638522045,-0.016493361431346415,0.0003054326190990077,-0.012064588454410803,-0.9322600000000001,0.5271,-1.7509800000000002,9.994368000000001,59,3866782,14.5,27
2024-03-08T08:31:07,0.29850461935,0.10109675484999998,9.77288570405,-0.017409659288643436,0.0003054326190990077,-0.0119118721448613,-0.9311400000000001,0.5271,-1.7638600000000002,7.141632,41,2687087,14.5,27
2024-03-08T08:31:08,0.30807590975,0.11904292434999998,9.823733184299998,-0.019853120241435502,0.0044287729769356115,-0.011301006906663285,-0.9230200000000001,0.5285,-1.7635800000000001,10.627584,67,4391087,14.5,27
2024-03-08T08:31:10,0.30568308715,0.09870393224999999,9.8045906035,-0.020769418098732523,0.0015271630954950385,-0.013133602621257331,-0.9261000000000001,0.5327000000000001,-1.75588,10.849536,68,4456626,14.5,27
2024-03-08T08:31:11,0.31226334929999994,0.12023933564999999,9.84586679335,-0.020311269170084013,0.0019853120241435504,-0.012064588454410803,-0.9275000000000001,0.52934,-1.7603600000000001,10.953984,67,4391089,14.5,27
2024-03-08T08:31:12,0.31944181709999997,0.12622139215,9.815956510849999,-0.01863138976503947,0.003207042500539581,-0.011606439525762293,-0.9300200000000001,0.52514,-1.7642800000000003,10.953984,67,4391089,14.5,27
2024-03-08T08:31:13,0.31405796625,0.1339980656,9.828518829499998,-0.01786780821729195,-0.0012217304763960308,-0.01069014166846527,-0.9202200000000001,0.53298,-1.75644,10.953984,67,4391089,14.5,27
2024-03-08T08:31:14,0.3332005470499999,0.10229316614999999,9.85424167245,-0.02351831167062359,0.005803219762881146,-0.01145372321621279,-0.92442,0.52934,-1.7525200000000003,10.686336,68,4456625,14.5,27
2024-03-08T08:31:15,0.31645078885,0.1328016543,9.823733184299998,-0.02458732583747012,0.0019853120241435504,-0.009010262263420728,-0.9235800000000001,0.53158,-1.77086,10.849536,68,4456626,14.5,27
2024-03-08T08:31:16,0.3152543775499999,0.1387837108,9.821938567349997,-0.019547687622336492,0.0015271630954950385,-0.012828170002158324,-0.9294600000000001,0.53158,-1.7507000000000004,10.849536,68,4456626,14.5,27
2024-03-08T08:31:17,0.3332005470499999,0.1351944769,9.846464998999998,-0.02138028333693054,0.0006108652381980154,-0.010384709049366262,-0.9177000000000001,0.5287800000000001,-1.7543400000000002,10.849536,68,4456626,14.5,27
2024-03-08T08:31:19,0.3038884702,0.12382856954999999,9.836893708599998,-0.021838432265579053,0.003207042500539581,-0.014966198335851376,-0.9280600000000001,0.5195400000000001,-1.7486000000000002,10.849536,68,4456626,14.5,27
